UF;Ano;Total F06;Subfunção;Valor;Pct
AC;2015;422789664,35;Policiamento;272543433,14;64,46312578596506
AC;2015;422789664,35;Defesa Civil;43390258,45;10,262847488646278
AC;2015;422789664,35;Informação e Inteligência;1040025,17;0,24599115297649068
AC;2015;422789664,35;Administração Geral;66207344,13;15,659641120079806
AC;2015;422789664,35;Demais Subfunções;39608603,46;9,368394452332359
AC;2016;434114223,37;Policiamento;267856834,64;61,701925488790735
AC;2016;434114223,37;Defesa Civil;42163739,05;9,712591014108149
AC;2016;434114223,37;Informação e Inteligência;14383,76;0,003313358380276007
AC;2016;434114223,37;Administração Geral;72227993,05;16,63801579439136
AC;2016;434114223,37;Demais Subfunções;51851272,87;11,94415434432947
AC;2017;506393234,63;Policiamento;299206137,65;59,08572966394726
AC;2017;506393234,63;Defesa Civil;48646953,92;9,606556840267476
AC;2017;506393234,63;Informação e Inteligência;688,57;0,00013597535529934733
AC;2017;506393234,63;Administração Geral;89812456,3;17,73571409689589
AC;2017;506393234,63;Demais Subfunções;68726998,19;13,571863423534063
AC;2018;579819877,47;Policiamento;350422372,01;60,436419244376616
AC;2018;579819877,47;Defesa Civil;53716294,4;9,264307155937283
AC;2018;579819877,47;Administração Geral;113396098,35;19,55712502386004
AC;2018;579819877,47;Demais Subfunções;62285112,71;10,742148575826057
AC;2019;660178009,42;Policiamento;406111043,43;61,51538488638681
AC;2019;660178009,42;Defesa Civil;61971233,31;9,387049011893762
AC;2019;660178009,42;Administração Geral;139917064,08;21,19383894700223
AC;2019;660178009,42;Demais Subfunções;52178668,6;7,903727154717198
AC;2020;481239719,07;Informação e Inteligência;999,6;0,00020771352828726107
AC;2020;481239719,07;Administração Geral;480765048,64;99,90136507624156
AC;2020;481239719,07;Demais Subfunções;473670,83;0,09842721023014749
AC;2021;542440176,63;Policiamento;248760664,96;45,85955754705839
AC;2021;542440176,63;Defesa Civil;1394378,53;0,257056646995215
AC;2021;542440176,63;Informação e Inteligência;7449896,25;1,3734042150571741
AC;2021;542440176,63;Demais Subfunções;284835236,89;52,50998159088922
AC;2022;929907362,4;Policiamento;346799224,06;37,29395400902571
AC;2022;929907362,4;Defesa Civil;63314575,8;6,808697119742257
AC;2022;929907362,4;Informação e Inteligência;280386128,59;30,152049540327415
AC;2022;929907362,4;Demais Subfunções;239407433,95;25,74529933090462
AC;2023;1020473939,2;Policiamento;370661979,15;36,322532591138994
AC;2023;1020473939,2;Defesa Civil;92857778,0;9,099475688011768
AC;2023;1020473939,2;Informação e Inteligência;297072944,98;29,11127208333122
AC;2023;1020473939,2;Demais Subfunções;259881237,07;25,46671963751801
AC;2024;1091202543,64;Policiamento;386636770,66;35,43217278162392
AC;2024;1091202543,64;Defesa Civil;102247520,71;9,3701688385848
AC;2024;1091202543,64;Informação e Inteligência;318246494,88;29,164750094735215
AC;2024;1091202543,64;Demais Subfunções;284071757,39;26,032908285056056
AL;2015;1047591867,09;Policiamento;766890215,03;73,20505619810386
AL;2015;1047591867,09;Informação e Inteligência;4069332,85;0,38844639576133694
AL;2015;1047591867,09;Administração Geral;259799083,45;24,799646848316005
AL;2015;1047591867,09;Demais Subfunções;16833235,76;1,6068505578187957
AL;2016;1032406706,97;Policiamento;758265737,25;73,44641720465246
AL;2016;1032406706,97;Defesa Civil;5598147,47;0,5422424546649784
AL;2016;1032406706,97;Informação e Inteligência;1807202,01;0,17504748833954584
AL;2016;1032406706,97;Administração Geral;257741558,43;24,965118561312245
AL;2016;1032406706,97;Demais Subfunções;8994061,81;0,8711742910307685
AL;2017;1121306009,4;Policiamento;799842563,62;71,33133657671094
AL;2017;1121306009,4;Defesa Civil;22223276,97;1,9819100926687674
AL;2017;1121306009,4;Informação e Inteligência;9040897,96;0,806282841990448
AL;2017;1121306009,4;Administração Geral;280384561,82;25,005177843471206
AL;2017;1121306009,4;Demais Subfunções;9814709,03;0,8752926451586356
AL;2018;1152617461,36;Policiamento;793270701,5;68,82341523474767
