UF;Ano;Status;SSP_Exceto_R$;SSP_Intra_R$;SSP_Total_R$;SAP_Exceto_R$;SAP_Intra_R$;SAP_Total_R$;SSP_SAP_Exceto_R$;SSP_SAP_Intra_R$;SSP_SAP_Total_R$;Total_Exceto_R$;Total_Intra_R$;Total_Geral_R$;Pct_SSP_Exceto_%;Pct_SSP_Total_%;Pct_SAP_Exceto_%;Pct_SAP_Total_%;Pct_SSP_SAP_Exceto_%;Pct_SSP_SAP_Total_%;Pct_API_%
AC;2015;OK;422789664,35;0,0;422789664,35;34451868,31;0,0;34451868,31;457241532,66;0,0;457241532,66;4813590069,85;330516587,06;5144106656,91;8,78;8,22;0,72;0,67;9,5;8,89;8,22
AC;2016;OK;434114223,37;40738926,22;474853149,59;47747167,76;19718,99;47766886,75;481861391,13;40758645,21;522620036,34;4914850559,91;415146977,55;5329997537,46;8,83;8,91;0,97;0,9;9,8;9,81;8,14
AC;2017;OK;506393234,63;51170614,15;557563848,78;65764588,9;9865,28;65774454,18;572157823,53;51180479,43;623338302,9599999;5353609717,31;604988804,08;5958598521,39;9,46;9,36;1,23;1,1;10,69;10,46;8,5
AC;2018;OK;579819877,47;63345769,05;643165646,52;89269695,77;46319,23;89316015,0;669089573,24;63392088,28;732481661,52;5829775187,23;684966357,72;6514741544,95;9,95;9,87;1,53;1,37;11,48;11,24;8,9
AC;2019;OK;660178009,42;73373589,09;733551598,51;51983460,4;0,0;51983460,4;712161469,8199999;73373589,09;785535058,91;5900138857,55;309349175,36;6209488032,91;11,19;11,81;0,88;0,84;12,07;12,65;10,63
AC;2020;OK;481239719,07;54791802,59;536031521,66;52401061,41;106604,3;52507665,70999999;533640780,48;54898406,89;588539187,37;6076628899,89;458440734,19;6535069634,08;7,92;8,2;0,86;0,8;8,78;9,01;7,36
AC;2021;OK;542440176,63;56691077,88;599131254,51;40991939,27;0,0;40991939,27;583432115,9;56691077,88;640123193,78;7093194287,06;424384012,47;7517578299,53;7,65;7,97;0,58;0,55;8,23;8,52;7,22
AC;2022;OK;929907362,4;84505173,66;1014412536,06;20361338,26;307703,04;20669041,3;950268700,66;84812876,7;1035081577,36;8923970953,17;468321791,33;9392292744,5;10,42;10,8;0,23;0,22;10,65;11,02;9,9
AC;2023;OK;1020473939,2;89439226,68;1109913165,88;22708349,96;1132093,01;23840442,970000003;1043182289,16;90571319,69;1133753608,85;9442045884,48;492125243,91;9934171128,39;10,81;11,17;0,24;0,24;11,05;11,41;10,27
AC;2024;OK;1091202543,64;94796663,51;1185999207,15;649198,02;0,0;649198,02;1091851741,66;94796663,51;1186648405,17;10836359094,48;518251538,52;11354610633,0;10,07;10,45;0,01;0,01;10,08;10,45;9,61
AL;2015;OK;1047591867,09;0,0;1047591867,09;2702168,2;0,0;2702168,2;1050294035,29;0,0;1050294035,29;7666529318,62;187089123,73;7853618442,35;13,66;13,34;0,04;0,03;13,7;13,37;13,34
AL;2016;OK;1032406706,97;194418993,18;1226825700,15;3178817,88;0,0;3178817,88;1035585524,85;194418993,18;1230004518,0300002;8371504012,6;1481844818,4;9853348831,0;12,33;12,45;0,04;0,03;12,37;12,48;10,48
AL;2017;OK;1121306009,4;179629092,63;1300935102,0300002;5707213,97;0,0;5707213,97;1127013223,37;179629092,63;1306642316,0000002;8825725557,7;1611061896,07;10436787453,77;12,7;12,46;0,06;0,05;12,77;12,52;10,74
AL;2018;OK;1152617461,36;192326349,91;1344943811,27;1395256,28;0,0;1395256,28;1154012717,64;192326349,91;1346339067,55;8468265337,55;1800546299,78;10268811637,33;13,61;13,1;0,02;0,01;13,63;13,11;11,22
AL;2019;OK;1115833764,44;184239830,92;1300073595,36;80274266,82;0,0;80274266,82;1196108031,26;184239830,92;1380347862,18;8522686582,05;552821270,68;9075507852,73;13,09;14,33;0,94;0,88;14,03;15,21;12,3
AL;2020;OK;1325167795,36;87113795,33;1412281590,6899998;114839986,71;0,0;114839986,71;1440007782,07;87113795,33;1527121577,4;9376901984,36;639418798,17;10016320782,53;14,13;14,1;1,22;1,15;15,36;15,25;13,23
AL;2021;OK;1320467623,05;80173607,7;1400641230,75;202803046,93;0,0;202803046,93;1523270669,98;80173607,7;1603444277,68;11999711154,03;623442884,95;12623154038,98;11,0;11,1;1,69;1,61;12,69;12,7;10,46
AL;2022;OK;1583072100,53;87727779,08;1670799879,61;183258812,88;0,0;183258812,88;1766330913,4099998;87727779,08;1854058692,49;15165901440,22;603055541,43;15768956981,65;10,44;10,6;1,21;1,16;11,65;11,76;10,04
AL;2023;OK;1794418089,74;103852716,21;1898270805,95;321805823,37;0,0;321805823,37;2116223913,11;103852716,21;2220076629,32;16181349072,33;703470739,89;16884819812,22;11,09;11,24;1,99;1,91;13,08;13,15;10,63
AL;2024;OK;2012602381,04;62486657,7;2075089038,74;99985255,15;0,0;99985255,15;2112587636,19;62486657,7;2175074293,89;17478395563,43;685259968,94;18163655532,37;11,51;11,42;0,57;0,55;12,09;11,97;11,08
AM;2015;OK;1354129104,93;0,0;1354129104,93;239124686,06;0,0;239124686,06;1593253790,99;0,0;1593253790,99;13736184089,77;464519210,17;14200703299,94;9,86;9,54;1,74;1,68;11,6;11,22;9,54
AM;2016;OK;1392572123,73;169853508,29;1562425632,02;381100954,78;0,0;381100954,78;1773673078,51;169853508,29;1943526586,8;13937145191,15;587920123,39;14525065314,54;9,99;10,76;2,73;2,62;12,73;13,38;9,59
AM;2017;OK;1411427539,63;168510655,62;1579938195,25;226431394,69;0,0;226431394,69;1637858934,3200002;168510655,62;1806369589,94;14063982942,16;592600141,51;14656583083,67;10,04;10,78;1,61;1,54;11,65;12,32;9,63
AM;2018;OK;1715177655,49;200268841,6;1915446497,09;272566334,08;0,0;272566334,08;1987743989,57;200268841,6;2188012831,17;16325425245,44;718730191,34;17044155436,78;10,51;11,24;1,67;1,6;12,18;12,84;10,06
AM;2019;OK;2011381251,93;242982861,61;2254364113,54;263914518,42;0,0;263914518,42;2275295770,35;242982861,61;2518278631,96;17540821158,12;872091392,63;18412912550,75;11,47;12,24;1,5;1,43;12,97;13,68;10,92
AM;2020;OK;2068375322,94;140995587,14;2209370910,08;393393962,28;0,0;393393962,28;2461769285,2200003;140995587,14;2602764872,36;18533793251,13;1849460191,38;20383253442,51;11,16;10,84;2,12;1,93;13,28;12,77;10,15
AM;2021;OK;2276422104,83;102935829,32;2379357934,15;447939476,83;0,0;447939476,83;2724361581,66;102935829,32;2827297410,98;22588216786,77;1039466200,29;23627682987,06;10,08;10,07;1,98;1,9;12,06;11,97;9,63
AM;2022;OK;2601261750,58;113042051,36;2714303801,94;356621242,64;0,0;356621242,64;2957882993,22;113042051,36;3070925044,58;27275715255,15;994706234,18;28270421489,33;9,54;9,6;1,31;1,26;10,84;10,86;9,2
AM;2023;OK;2641795841,98;110153039,49;2751948881,47;436110782,89;0,0;436110782,89;3077906624,87;110153039,49;3188059664,36;28410375799,07;948560713,51;29358936512,58;9,3;9,37;1,54;1,49;10,83;10,86;9,0
AM;2024;OK;2964407513,78;117751382,82;3082158896,6000004;586897863,81;0,0;586897863,81;3551305377,59;117751382,82;3669056760,41;32897257357,41;1019912581,63;33917169939,04;9,01;9,09;1,78;1,73;10,8;10,82;8,74
AP;2015;OK;450492315,38;0,0;450492315,38;10997523,92;0,0;10997523,92;461489839,3;0,0;461489839,3;3561371962,4;61727885,96;3623099848,36;12,65;12,43;0,31;0,3;12,96;12,74;12,43
AP;2016;OK;406228319,98;0,0;406228319,98;11481793,15;0,0;11481793,15;417710113,13;0,0;417710113,13;3788535779,28;130503189,72;3919038969,0;10,72;10,37;0,3;0,29;11,03;10,66;10,37
AP;2017;OK;447686649,35;0,0;447686649,35;13683142,23;0,0;13683142,23;461369791,58;0,0;461369791,58;3834621684,66;168193406,85;4002815091,51;11,67;11,18;0,36;0,34;12,03;11,53;11,18
AP;2018;OK;450858698,03;0,0;450858698,03;16775619,18;0,0;16775619,18;467634317,21;0,0;467634317,21;4200929133,16;170983646,21;4371912779,37;10,73;10,31;0,4;0,38;11,13;10,7;10,31
AP;2019;OK;552215231,77;0,0;552215231,77;17588555,49;0,0;17588555,49;569803787,26;0,0;569803787,26;4753885225,13;169213750,52;4923098975,65;11,62;11,22;0,37;0,36;11,99;11,57;11,22
AP;2020;OK;722548985,65;0,0;722548985,65;15663975,97;0,0;15663975,97;738212961,62;0,0;738212961,62;4755084442,16;251811027,34;5006895469,5;15,2;14,43;0,33;0,31;15,52;14,74;14,43
AP;2021;OK;720583076,55;0,0;720583076,55;16866226,82;0,0;16866226,82;737449303,37;0,0;737449303,37;5294721112,94;201910509,67;5496631622,61;13,61;13,11;0,32;0,31;13,93;13,42;13,11
AP;2022;OK;878492078,71;0,0;878492078,71;27026686,21;0,0;27026686,21;905518764,92;0,0;905518764,92;6745512763,93;164017557,54;6909530321,47;13,02;12,71;0,4;0,39;13,42;13,11;12,71
