UF;Ano;Modelo de Gestão;SSP (R$ Mi);SAP (R$ Mi);SSP + SAP (R$ Mi);Orçamento Total Estado (R$ Mi);SSP (%);SAP (%);SSP + SAP (%)
AC;2024;SAP Separada;1091,2025436400002;0,64919802;1091,85174166;10836,35909448;10,07;0,01;10,08
AL;2024;SAP Separada;2012,60238104;99,98525515;2112,58763619;17478,39556343;11,51;0,57;12,09
AM;2024;SAP Separada;2964,40751378;586,89786381;3551,3053775900003;32897,25735741;9,01;1,78;10,8
AP;2024;SAP Separada;1048,09106213;38,046885859999996;1086,13794799;9299,45204183;11,27;0,41;11,68
BA;2024;SAP Separada;6454,22881316;604,64805;7058,87686316;69740,35956872;9,25;0,87;10,12
CE;2024;SAP Separada;4685,75957795;2,35206768;4688,111645630001;38688,91348661;12,11;0,01;12,12
DF;2024;SAP Separada;1384,0001892799999;50,07099646;1434,07118574;35303,270142739995;3,92;0,14;4,06
ES;2024;SAP Separada;2350,0293201100003;322,73633344999996;2672,76565356;26065,94526182;9,02;1,24;10,25
GO;2024;SAP Separada;4229,186399300001;100,08824376999999;4329,274643070001;40503,6938491;10,44;0,25;10,69
MA;2024;SAP Separada;2207,08868829;316,52816377;2523,61685206;27623,34940913;7,99;1,15;9,14
MG;2024;SSP Integrada (Tudo na SSP);19859,71129989;0,0;19859,71129989;102735,41695283;19,33;0,0;19,33
MS;2024;SAP Separada;1842,2932187200001;479,38915542;2321,68237414;22388,73240322;8,23;2,14;10,37
MT;2024;SAP Separada;3892,12307194;156,32390071;4048,44697265;33176,046140880004;11,73;0,47;12,2
PA;2024;SSP Integrada (Tudo na SSP);5289,023439279999;0,0;5289,023439279999;44658,993520480006;11,84;0,0;11,84
PB;2024;SAP Separada;2074,31564691;36,703319369999996;2111,01896628;18880,4691638;10,99;0,19;11,18
PE;2024;SAP Separada;3695,93433187;198,70278982;3894,63712169;46173,59208362;8,0;0,43;8,43
PI;2024;SSP Integrada (Tudo na SSP);1634,48993924;0,0;1634,48993924;20209,83338024;8,09;0,0;8,09
PR;2024;SAP Separada;5816,315506770001;53,24352863;5869,5590354000005;63812,46512582;9,11;0,08;9,2
RJ;2024;SSP Integrada (Tudo na SSP);15757,20771673;0,0;15757,20771673;99267,93742971;15,87;0,0;15,87
RN;2024;SAP Separada;2377,46482331;96,83714655;2474,30196986;18735,30869578;12,69;0,52;13,21
RO;2024;SAP Separada;1807,64155045;123,32624964;1930,9678000899999;12905,286014719999;14,01;0,96;14,96
RR;2024;SAP Separada;766,04028138;38,71669707;804,75697845;7803,7386781000005;9,82;0,5;10,31
RS;2024;SSP Integrada (Tudo na SSP);6276,66059644;0,0;6276,66059644;59448,877020620006;10,56;0,0;10,56
SC;2024;SAP Separada;3368,4982045300003;299,96546094;3668,46366547;45739,70845268;7,36;0,66;8,02
SE;2024;SSP Integrada (Tudo na SSP);1700,73245209;0,0;1700,73245209;14600,69972956;11,65;0,0;11,65
SP;2024;SAP Separada;16336,93519276;4425,01133863;20761,94653139;335692,61488249;4,87;1,32;6,18
TO;2024;SAP Separada;1413,5116341500002;116,34463448000001;1529,8562686300002;15609,74732855;9,06;0,75;9,8
