UF;Ano;Modelo de Gestão;SSP (R$ Mi);SAP (R$ Mi);SSP + SAP (R$ Mi);Orçamento Total Estado (R$ Mi);SSP (%);SAP (%);SSP + SAP (%)
AC;2015;SAP Separada;422,78966435;34,45186831;457,24153266;4813,59006985;8,78;0,72;9,5
AC;2016;SAP Separada;434,11422337;47,747167759999996;481,86139113;4914,85055991;8,83;0,97;9,8
AC;2017;SAP Separada;506,39323463;65,76458889999999;572,15782353;5353,609717310001;9,46;1,23;10,69
AC;2018;SAP Separada;579,81987747;89,26969577;669,08957324;5829,77518723;9,95;1,53;11,48
AC;2019;SAP Separada;660,17800942;51,9834604;712,16146982;5900,1388575500005;11,19;0,88;12,07
AC;2020;SAP Separada;481,23971907;52,40106141;533,64078048;6076,62889989;7,92;0,86;8,78
AC;2021;SAP Separada;542,44017663;40,99193927;583,4321159;7093,1942870600005;7,65;0,58;8,23
AC;2022;SAP Separada;929,9073624;20,36133826;950,2687006599999;8923,970953170001;10,42;0,23;10,65
AC;2023;SAP Separada;1020,4739392;22,70834996;1043,18228916;9442,04588448;10,81;0,24;11,05
AC;2024;SAP Separada;1091,2025436400002;0,64919802;1091,85174166;10836,35909448;10,07;0,01;10,08
AC;2025;SAP Separada;1217,4350529100002;0,37206187;1217,80711478;12095,627923790002;10,07;0,0;10,07
AL;2015;SAP Separada;1047,59186709;2,7021682;1050,29403529;7666,52931862;13,66;0,04;13,7
AL;2016;SAP Separada;1032,40670697;3,17881788;1035,58552485;8371,5040126;12,33;0,04;12,37
AL;2017;SAP Separada;1121,3060094;5,70721397;1127,0132233699999;8825,725557700001;12,7;0,06;12,77
AL;2018;SAP Separada;1152,6174613599999;1,3952562800000001;1154,0127176400001;8468,26533755;13,61;0,02;13,63
AL;2019;SAP Separada;1115,83376444;80,27426682;1196,10803126;8522,68658205;13,09;0,94;14,03
AL;2020;SAP Separada;1325,16779536;114,83998670999999;1440,0077820699998;9376,90198436;14,13;1,22;15,36
AL;2021;SAP Separada;1320,46762305;202,80304693;1523,27066998;11999,711154030001;11,0;1,69;12,69
AL;2022;SAP Separada;1583,07210053;183,25881288;1766,3309134099998;15165,90144022;10,44;1,21;11,65
AL;2023;SAP Separada;1794,41808974;321,80582337;2116,22391311;16181,34907233;11,09;1,99;13,08
AL;2024;SAP Separada;2012,60238104;99,98525515;2112,58763619;17478,39556343;11,51;0,57;12,09
AL;2025;SAP Separada;2491,36046239;103,63317731000001;2594,9936396999997;19107,33486417;13,04;0,54;13,58
AM;2015;SAP Separada;1354,12910493;239,12468606000002;1593,25379099;13736,18408977;9,86;1,74;11,6
AM;2016;SAP Separada;1392,57212373;381,10095478;1773,67307851;13937,145191149999;9,99;2,73;12,73
AM;2017;SAP Separada;1411,4275396300002;226,43139469;1637,8589343200001;14063,98294216;10,04;1,61;11,65
AM;2018;SAP Separada;1715,17765549;272,56633408;1987,74398957;16325,425245440001;10,51;1,67;12,18
AM;2019;SAP Separada;2011,38125193;263,91451842;2275,29577035;17540,821158119998;11,47;1,5;12,97
AM;2020;SAP Separada;2068,37532294;393,39396228;2461,7692852200003;18533,793251130002;11,16;2,12;13,28
AM;2021;SAP Separada;2276,42210483;447,93947683;2724,36158166;22588,21678677;10,08;1,98;12,06
AM;2022;SAP Separada;2601,26175058;356,62124264;2957,8829932199997;27275,71525515;9,54;1,31;10,84
AM;2023;SAP Separada;2641,79584198;436,11078289;3077,90662487;28410,37579907;9,3;1,54;10,83
AM;2024;SAP Separada;2964,40751378;586,89786381;3551,3053775900003;32897,25735741;9,01;1,78;10,8
AM;2025;SAP Separada;3308,8537201500003;504,98431057;3813,83803072;34908,824546519994;9,48;1,45;10,93
AM;2026;SAP Separada;1126,61733566;210,05888213;1336,67621779;11016,8223953;10,23;1,91;12,13
AP;2015;SAP Separada;450,49231538;10,99752392;461,4898393;3561,3719624;12,65;0,31;12,96
AP;2016;SAP Separada;406,22831998000004;11,48179315;417,71011312999997;3788,53577928;10,72;0,3;11,03
AP;2017;SAP Separada;447,68664935000004;13,68314223;461,36979157999997;3834,62168466;11,67;0,36;12,03
AP;2018;SAP Separada;450,85869802999997;16,77561918;467,63431721;4200,92913316;10,73;0,4;11,13
AP;2019;SAP Separada;552,21523177;17,588555489999997;569,80378726;4753,88522513;11,62;0,37;11,99
AP;2020;SAP Separada;722,54898565;15,663975970000001;738,21296162;4755,0844421599995;15,2;0,33;15,52
AP;2021;SAP Separada;720,58307655;16,86622682;737,44930337;5294,721112939999;13,61;0,32;13,93
AP;2022;SAP Separada;878,49207871;27,02668621;905,51876492;6745,51276393;13,02;0,4;13,42
AP;2023;SAP Separada;930,1401682000001;24,80611298;954,9462811799999;7996,82203559;11,63;0,31;11,94
AP;2024;SAP Separada;1048,09106213;38,046885859999996;1086,13794799;9299,45204183;11,27;0,41;11,68
AP;2025;SAP Separada;1117,2752444300002;51,82831526;1169,10355969;10630,59194868;10,51;0,49;11,0
BA;2015;SAP Separada;3710,9671275;255,41878911;3966,38591661;36332,51508693;10,21;0,7;10,92
BA;2016;SAP Separada;4114,98518362;324,2986705;4439,28385412;39160,11418774;10,51;0,83;11,34
BA;2017;SAP Separada;4059,8688168099998;345,5082708;4405,37708761;40394,55415128;10,05;0,86;10,91
BA;2018;SAP Separada;4292,02877243;381,97138314999995;4674,00015558;43098,49648977;9,96;0,89;10,84
BA;2019;SAP Separada;4506,1079945500005;429,50024501999997;4935,60823957;45135,20904518;9,98;0,95;10,94
BA;2020;SAP Separada;4301,27430775;440,84963567;4742,12394342;45775,35532447;9,4;0,96;10,36
BA;2021;SAP Separada;4319,232567;490,63368206;4809,86624906;51900,30946592;8,32;0,95;9,27
BA;2022;SAP Separada;5151,760218529999;490,37293951;5642,13315804;66945,1207558;7,7;0,73;8,43
BA;2023;SAP Separada;5855,7421558999995;559,1441810599999;6414,886336959999;72501,79147607001;8,08;0,77;8,85
BA;2024;SAP Separada;6454,22881316;604,64805;7058,87686316;69740,35956872;9,25;0,87;10,12
BA;2025;SAP Separada;7393,96801622;709,89701223;8103,865028450001;75791,29483279;9,76;0,94;10,69
CE;2015;SAP Separada;1753,46966747;146,44333871999999;1899,91300619;20155,36464263;8,7;0,73;9,43
