UF;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AC;9,5;9,8;10,69;11,48;12,07;8,78;8,23;10,65;11,05;10,08
AL;13,7;12,37;12,77;13,63;14,03;15,36;12,69;11,65;13,08;12,09
AM;11,6;12,73;11,65;12,18;12,97;13,28;12,06;10,84;10,83;10,8
AP;12,96;11,03;12,03;11,13;11,99;15,52;13,93;13,42;11,94;11,68
BA;10,92;11,34;10,91;10,84;10,94;10,36;9,27;8,43;8,85;10,12
CE;9,43;8,68;9,06;10,24;10,7;11,55;10,85;13,12;13,13;12,12
DF;2,3;3,14;4,05;3,92;4,25;4,11;3,69;3,64;4,22;4,06
ES;11,46;12,42;12,53;11,83;11,1;10,39;9,75;11,02;10,02;10,25
GO;12,61;13,22;13,02;12,52;14,05;12,08;11,23;9,97;10,84;10,69
MA;9,61;10,07;10,5;11,52;13,73;12,96;11,17;10,33;10,35;9,14
MG;18,36;19,3;18,71;17,77;16,72;16,58;15,32;20,23;19,92;19,33
MS;10,34;13,43;12,41;11,13;11,52;11,78;11,16;11,03;10,73;10,37
MT;11,28;12,87;12,28;12,71;13,86;15,03;13,65;12,52;11,72;12,2
PA;10,66;10,82;10,87;11,27;11,47;10,34;9,71;11,38;11,7;11,84
PB;10,35;12,04;12,47;12,94;13,46;13,87;12,42;12,01;11,43;11,18
PE;8,9;9,33;9,43;9,8;9,56;9,18;8,03;7,52;7,58;8,43
PI;3,63;8,79;8,79;8,56;7,99;7,7;7,17;6,85;6,83;8,09
PR;7,65;7,64;7,96;7,97;7,55;8,45;8,09;9,31;9,46;9,2
RJ;13,94;16,21;14,16;15,43;16,35;15,7;13,81;15,77;16,24;15,87
RN;8,56;10,3;9,29;9,88;10,89;9,55;10,11;9,56;14,23;13,21
RO;16,52;12,24;12,11;11,8;11,84;14,7;14,08;15,03;15,13;14,96
RR;10,8;11,64;11,38;12,29;8,42;11,72;11,43;9,65;10,79;10,31
RS;6,68;7,11;7,52;7,89;8,32;11,42;10,63;12,66;10,9;10,56
SC;10,3;12,67;10,61;10,44;10,06;10,21;9,02;8,75;8,72;8,02
SE;11,87;12,12;11,76;12,31;12,28;11,54;16,6;11,43;10,95;11,65
SP;7,37;7,42;7,28;6,92;6,73;6,89;6,14;5,9;6,35;6,18
TO;10,02;10,14;10,84;11,89;12,75;11,66;11,09;10,06;10,01;9,8
