UF;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
AC;8,89;9,81;10,46;11,24;12,65;9,01;8,52;11,02;11,41;10,45;10,93;
AL;13,37;12,48;12,52;13,11;15,21;15,25;12,7;11,76;13,15;11,97;13,41;
AM;11,22;13,38;12,32;12,84;13,68;12,77;11,97;10,86;10,86;10,82;10,96;12,17
AP;12,74;10,66;11,53;10,7;11,57;14,74;13,42;13,11;11,77;11,36;10,81;
BA;10,11;12,23;11,73;12,03;12,05;10,4;9,29;8,58;8,94;10,31;10,82;
CE;8,99;9,3;9,77;11,01;11,68;12,37;11,71;13,9;14,21;13,19;12,56;
DF;2,3;3,14;4,0;3,94;4,27;4,12;3,76;3,71;4,26;4,15;4,35;
ES;9,8;15,66;16,08;15,51;14,97;11,05;9,8;11,02;10,08;10,33;11,11;
GO;11,9;14,77;14,66;14,03;15,64;12,36;11,26;10,07;10,88;10,72;10,35;
MA;9,61;10,07;10,07;10,79;13,06;12,08;10,66;9,93;9,9;8,8;8,0;
MG;15,83;18,75;17,71;16,88;16,26;15,46;14,04;18,0;19,41;19,07;19,97;
MS;8,81;14,61;14,54;13,51;13,8;12,34;11,43;11,33;11,06;10,52;10,61;
MT;10,0;13,3;13,31;13,82;15,13;15,36;13,9;12,73;11,96;12,47;10,8;
PA;10,22;10,41;10,39;10,73;10,98;9,72;9,33;10,7;10,86;10,98;10,5;
PB;9,81;12,57;12,97;13,37;13,83;14,22;12,82;12,46;11,88;11,69;11,21;
PE;7,97;9,53;9,63;9,99;10,02;9,33;7,56;7,18;7,62;8,42;8,2;
PI;3,35;8,97;9,18;9,1;8,84;7,92;7,6;7,2;7,18;8,38;7,16;
PR;7,65;7,64;7,96;8,32;7,91;8,88;8,51;9,63;9,65;9,65;9,95;
RJ;13,15;17,36;14,73;16,81;17,29;15,67;13,66;15,72;16,06;15,38;15,37;
RN;7,92;11,07;9,81;10,13;11,22;9,93;10,34;9,83;12,99;12,16;8,93;
RO;15,95;12,65;12,55;12,32;12,43;14,51;13,93;14,55;14,6;14,19;14,55;
RR;10,35;11,62;11,35;12,49;8,62;12,14;11,76;10,02;11,15;10,53;12,33;
RS;5,51;5,79;6,02;12,68;6,62;8,4;8,09;9,57;8,4;8,19;9,73;
SC;9,69;13,87;11,68;11,53;11,25;10,51;9,36;9,08;9,04;8,35;8,16;
SE;10,98;12,93;12,78;13,4;13,32;11,56;15,72;11,31;10,97;11,78;11,23;
SP;6,49;10,68;10,46;10,24;10,02;11,33;8,21;8,78;6,51;6,35;6,63;
TO;9,33;10,45;10,69;11,36;12,11;11,17;11,03;11,09;10,78;10,65;11,34;
