UF;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
AC;0,72;0,97;1,23;1,53;0,88;0,86;0,58;0,23;0,24;0,01;0,0;
AL;0,04;0,04;0,06;0,02;0,94;1,22;1,69;1,21;1,99;0,57;0,54;
AM;1,74;2,73;1,61;1,67;1,5;2,12;1,98;1,31;1,54;1,78;1,45;1,91
AP;0,31;0,3;0,36;0,4;0,37;0,33;0,32;0,4;0,31;0,41;0,49;
BA;0,7;0,83;0,86;0,89;0,95;0,96;0,95;0,73;0,77;0,87;0,94;
CE;0,73;0,02;0,02;0,02;0,04;0,0;0,0;0,0;0,0;0,01;0,0;
DF;0,03;0,35;0,13;0,31;0,48;0,1;0,12;0,12;0,14;0,14;0,15;
ES;1,21;1,43;1,45;1,43;1,45;1,32;1,22;1,41;1,33;1,24;1,31;
GO;0,18;0,57;0,52;0,55;0,42;0,39;0,36;0,31;0,48;0,25;0,59;
MA;1,16;0,96;0,71;0,98;1,29;1,22;1,29;1,2;1,17;1,15;1,13;
MG;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
MS;1,26;2,13;1,88;1,82;1,85;2,27;2,1;1,32;1,02;2,14;1,94;
MT;0,09;0,5;0,53;0,5;0,49;0,59;0,44;0,42;0,43;0,47;0,54;
PA;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
PB;0,02;0,03;0,03;0,17;0,14;0,16;0,07;0,08;0,13;0,19;0,15;
PE;0,45;0,51;0,61;0,52;0,45;0,39;0,33;0,36;0,24;0,43;0,5;
PI;0,48;0,51;0,69;0,83;0,53;0,49;0,5;0,55;0,55;0,0;0,0;
PR;0,04;0,32;0,31;0,29;0,32;0,06;0,07;0,07;0,07;0,08;0,08;
RJ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
RN;0,45;0,46;0,41;0,54;0,77;0,52;0,63;0,55;0,55;0,52;0,5;
RO;0,0;0,0;0,0;0,0;0,0;1,08;1,01;0,91;1,14;0,96;0,95;
RR;0,74;0,74;0,59;0,39;1,06;1,0;0,78;0,52;0,54;0,5;0,58;
RS;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
SC;0,93;3,0;1,18;1,23;1,16;1,07;0,87;0,77;0,79;0,66;0,71;
SE;0,58;0,72;0,91;1,2;1,36;0,94;1,35;1,1;0,9;0,0;0,0;
SP;1,54;1,63;1,56;1,51;1,45;1,52;1,26;1,25;1,34;1,32;1,4;
TO;0,79;0,84;1,02;0,85;0,0;0,0;0,95;0,86;0,86;0,75;1,6;
