UF;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AC;8,22;8,91;9,36;9,87;11,81;8,2;7,97;10,8;11,17;10,45
AL;13,34;12,45;12,46;13,1;14,33;14,1;11,1;10,6;11,24;11,42
AM;9,54;10,76;10,78;11,24;12,24;10,84;10,07;9,6;9,37;9,09
AP;12,43;10,37;11,18;10,31;11,22;14,43;13,11;12,71;11,46;10,96
BA;9,46;11,41;10,91;11,15;11,12;9,44;8,36;7,85;8,17;9,43
CE;8,29;9,29;9,76;10,99;11,64;12,37;11,71;13,9;14,21;13,18
DF;2,27;2,79;3,88;3,65;3,82;4,03;3,64;3,6;4,13;4,01
ES;8,77;14,46;14,87;14,29;13,75;9,9;8,6;9,64;8,77;9,11
GO;11,74;14,23;14,17;13,52;15,25;12,0;10,92;9,77;10,42;10,48
MA;8,45;9,11;9,39;9,87;11,84;10,95;9,44;8,78;8,78;7,69
MG;15,83;18,75;17,71;16,88;16,26;15,46;14,04;18,0;19,41;19,07
MS;7,74;12,51;12,7;11,66;12,0;10,12;9,31;10,05;10,12;8,35
MT;9,92;12,86;12,82;13,36;14,67;14,82;13,5;12,35;11,57;12,04
PA;10,22;10,41;10,39;10,73;10,98;9,72;9,33;10,7;10,86;10,98
PB;9,79;12,54;12,94;13,21;13,7;14,06;12,75;12,38;11,76;11,5
PE;7,57;9,09;9,11;9,54;9,63;9,0;7,27;6,86;7,4;8,01
PI;2,91;8,51;8,54;8,34;8,35;7,48;7,16;6,7;6,68;8,38
PR;7,62;7,33;7,65;8,01;7,57;8,82;8,45;9,56;9,58;9,57
RJ;13,15;17,36;14,73;16,81;17,29;15,67;13,66;15,72;16,06;15,38
RN;7,51;10,66;9,44;9,66;10,54;9,47;9,8;9,36;12,5;11,7
RO;15,95;12,65;12,55;12,32;12,43;13,48;12,95;13,69;13,53;13,31
RR;9,64;10,91;10,73;12,11;7,62;11,19;11,02;9,53;10,63;10,06
RS;5,51;5,79;6,02;12,68;6,62;8,4;8,09;9,57;8,4;8,19
SC;8,82;10,86;10,57;10,37;10,16;9,48;8,52;8,32;8,29;7,71
SE;10,44;12,27;11,95;12,3;12,06;10,69;14,51;10,29;10,13;11,78
SP;5,14;9,07;8,91;8,74;8,57;9,84;6,88;7,48;5,05;4,92
TO;8,59;9,66;9,73;10,56;12,11;11,17;10,16;10,31;10,0;9,97
